employee_id,cost_center,punch_in_time,punch_out_time,punch_apply_date,hours_worked,paycode
5011401,31288,,,2021-06-24,5,ON_CALL
5011401,31288,2021-06-24 14:11:00,2021-06-24 17:11:00,2021-06-24,3,WRK
5011499,18048,2021-06-24 14:15:00,2021-06-24 18:48:00,2021-06-24,4.6,WRK
5011499,18048,,,2021-06-24,0.9,BREAK
5011499,18048,2021-06-24 19:43:00,2021-06-24 22:15:00,2021-06-24,2.5,WRK
5011633,53410,,,2021-06-24,6,ON_CALL
5011633,53410,2021-06-24 6:13:00,2021-06-24 8:13:00,2021-06-24,2,WRK
5012159,18048,,,2021-06-24,7,ON_CALL
5012159,18048,2021-06-24 14:00:00,2021-06-24 15:00:00,2021-06-24,1,WRK
5012163,53410,,,2021-06-24,8,ON_CALL
5012165,51120,,,2021-06-24,2,CHARGE
5012165,51120,2021-06-24 6:19:00,2021-06-24 10:00:00,2021-06-24,3.7,WRK
5012165,51120,,,2021-06-24,0.9,BREAK
5012165,51120,2021-06-24 10:56:00,2021-06-24 14:19:00,2021-06-24,3.4,WRK
5012329,54013,,,2021-06-24,7,ON_CALL
5012329,54013,2021-06-24 14:09:00,2021-06-24 15:09:00,2021-06-24,1,WRK
507800,31288,,,2021-06-24,6,ON_CALL
507800,31288,2021-06-24 6:15:00,2021-06-24 8:15:00,2021-06-24,2,WRK
1377208,53410,,,2021-06-25,2,CHARGE
1377208,53410,2021-06-25 14:13:00,2021-06-25 17:49:00,2021-06-25,3.6,WRK
1377208,53410,,,2021-06-25,0.6,BREAK
1377208,53410,2021-06-25 18:27:00,2021-06-25 22:13:00,2021-06-25,3.8,WRK
1672200,55050,,,2021-06-25,8,ABSENT
1977006,51120,,,2021-06-25,8,ABSENT
3974506,53410,,,2021-06-25,8,ABSENT
4024378,18048,,,2021-06-25,7,ON_CALL
4024378,18048,2021-06-25 14:20:00,2021-06-25 15:20:00,2021-06-25,1,WRK
5001188,51120,,,2021-06-25,5,ON_CALL
5001188,51120,2021-06-25 6:11:00,2021-06-25 9:11:00,2021-06-25,3,WRK
5001252,54013,2021-06-25 14:02:00,2021-06-25 19:48:00,2021-06-25,5.8,WRK
5001252,54013,,,2021-06-25,0.9,BREAK
5001252,54013,2021-06-25 20:43:00,2021-06-25 22:02:00,2021-06-25,1.3,WRK
5005963,51100,,,2021-06-25,8,ABSENT
5009770,53410,,,2021-06-25,5,ON_CALL
5009770,53410,2021-06-25 6:10:00,2021-06-25 9:10:00,2021-06-25,3,WRK
5010823,53410,,,2021-06-25,1,CHARGE
5010823,53410,2021-06-25 6:14:00,2021-06-25 10:47:00,2021-06-25,4.6,WRK
5010823,53410,,,2021-06-25,0.9,BREAK
5010823,53410,2021-06-25 11:42:00,2021-06-25 14:14:00,2021-06-25,2.5,WRK
5010836,51100,2021-06-25 14:00:00,2021-06-25 16:37:00,2021-06-25,2.6,WRK
5010836,51100,,,2021-06-25,0.9,BREAK
5010836,51100,2021-06-25 17:32:00,2021-06-25 22:00:00,2021-06-25,4.5,WRK
5011015,51100,,,2021-06-25,7,ON_CALL
5011015,51100,2021-06-25 14:15:00,2021-06-25 15:15:00,2021-06-25,1,WRK
5011018,54013,2021-06-25 6:12:00,2021-06-25 10:52:00,2021-06-25,4.7,WRK
5011018,54013,,,2021-06-25,0.5,BREAK
5011018,54013,2021-06-25 11:23:00,2021-06-25 14:12:00,2021-06-25,2.8,WRK
5011060,54013,,,2021-06-25,7,ON_CALL
5011060,54013,2021-06-25 6:02:00,2021-06-25 7:02:00,2021-06-25,1,WRK
5011110,51120,,,2021-06-25,6,ON_CALL
5011110,51120,2021-06-25 14:09:00,2021-06-25 16:09:00,2021-06-25,2,WRK
5011147,11151,,,2021-06-25,8,ON_CALL
5011401,31288,,,2021-06-25,3,CHARGE
5011401,31288,2021-06-25 14:16:00,2021-06-25 16:53:00,2021-06-25,2.6,WRK
5011401,31288,,,2021-06-25,0.9,BREAK
5011401,31288,2021-06-25 17:45:00,2021-06-25 22:16:00,2021-06-25,4.5,WRK
5011499,18048,,,2021-06-25,8,ABSENT
5011633,53410,,,2021-06-25,8,ON_CALL
5012159,18048,,,2021-06-25,8,ABSENT
5012163,53410,,,2021-06-25,1,CHARGE
5012163,53410,2021-06-25 14:18:00,2021-06-25 18:06:00,2021-06-25,3.8,WRK
5012163,53410,,,2021-06-25,0.5,BREAK
5012163,53410,2021-06-25 18:37:00,2021-06-25 22:18:00,2021-06-25,3.7,WRK
5012165,51120,,,2021-06-25,8,ABSENT
5012319,51100,,,2021-06-25,2,CHARGE
5012319,51100,2021-06-25 14:16:00,2021-06-25 17:06:00,2021-06-25,2.8,WRK
5012319,51100,,,2021-06-25,0.7,BREAK
5012319,51100,2021-06-25 17:45:00,2021-06-25 22:16:00,2021-06-25,4.5,WRK
507800,31288,2021-06-25 14:01:00,2021-06-25 19:45:00,2021-06-25,5.7,WRK
507800,31288,,,2021-06-25,0.9,BREAK
507800,31288,2021-06-25 20:37:00,2021-06-25 22:01:00,2021-06-25,1.4,WRK
1377208,53410,,,2021-06-26,8,ABSENT
1672200,55050,,,2021-06-26,8,ABSENT
1977006,51120,,,2021-06-26,8,ABSENT
4019778,31288,,,2021-06-26,8,ABSENT
4024378,18048,,,2021-06-26,8,ABSENT
5001188,51120,,,2021-06-26,8,ABSENT
5001252,54013,,,2021-06-26,8,ON_CALL
5005963,51100,,,2021-06-26,1,CHARGE
5005963,51100,2021-06-26 6:18:00,2021-06-26 11:49:00,2021-06-26,5.5,WRK
5005963,51100,,,2021-06-26,0.6,BREAK
5005963,51100,2021-06-26 12:23:00,2021-06-26 14:18:00,2021-06-26,1.9,WRK
5009770,53410,,,2021-06-26,8,ABSENT
5010823,53410,,,2021-06-26,8,ABSENT
5010831,51120,,,2021-06-26,8,ABSENT
5011015,51100,2021-06-26 14:14:00,2021-06-26 17:02:00,2021-06-26,2.8,WRK
5011015,51100,,,2021-06-26,0.7,BREAK
5011015,51100,2021-06-26 17:45:00,2021-06-26 22:14:00,2021-06-26,4.5,WRK
5011018,54013,,,2021-06-26,8,ABSENT
5011060,54013,,,2021-06-26,8,ABSENT
5011105,51100,,,2021-06-26,8,ABSENT
5011110,51120,,,2021-06-26,8,ABSENT
5011147,11151,,,2021-06-26,5,ON_CALL
5011147,11151,2021-06-26 14:02:00,2021-06-26 17:02:00,2021-06-26,3,WRK
5011401,31288,2021-06-26 6:12:00,2021-06-26 11:44:00,2021-06-26,5.5,WRK
5011401,31288,,,2021-06-26,0.9,BREAK
5011401,31288,2021-06-26 12:40:00,2021-06-26 14:12:00,2021-06-26,1.5,WRK
5011499,18048,,,2021-06-26,8,ABSENT
5011633,53410,,,2021-06-26,8,ABSENT
5012319,51100,,,2021-06-26,8,ABSENT
5012329,54013,,,2021-06-26,8,ABSENT
5014147,11151,,,2021-06-26,2,CHARGE
5014147,11151,2021-06-26 14:15:00,2021-06-26 19:50:00,2021-06-26,5.6,WRK
5014147,11151,,,2021-06-26,0.7,BREAK
5014147,11151,2021-06-26 20:29:00,2021-06-26 22:15:00,2021-06-26,1.8,WRK
507800,31288,2021-06-26 14:11:00,2021-06-26 16:46:00,2021-06-26,2.6,WRK
507800,31288,,,2021-06-26,0.6,BREAK
507800,31288,2021-06-26 17:21:00,2021-06-26 22:11:00,2021-06-26,4.8,WRK
1377208,53410,,,2021-06-27,8,ABSENT
1672200,55050,,,2021-06-27,8,ABSENT
1977006,51120,,,2021-06-27,7,ON_CALL
1977006,51120,2021-06-27 6:10:00,2021-06-27 7:10:00,2021-06-27,1,WRK
3974506,53410,,,2021-06-27,8,ABSENT
4019778,31288,,,2021-06-27,8,ABSENT
4024378,18048,,,2021-06-27,8,ABSENT
5001188,51120,,,2021-06-27,8,ABSENT
5001252,54013,,,2021-06-27,8,ABSENT
5005963,51100,2021-06-27 6:07:00,2021-06-27 11:57:00,2021-06-27,5.8,WRK
5005963,51100,,,2021-06-27,0.8,BREAK
5005963,51100,2021-06-27 12:47:00,2021-06-27 14:07:00,2021-06-27,1.3,WRK
5009770,53410,,,2021-06-27,8,ABSENT
5010823,53410,,,2021-06-27,7,ON_CALL
5010823,53410,2021-06-27 14:07:00,2021-06-27 15:07:00,2021-06-27,1,WRK
5010831,51120,,,2021-06-27,8,ABSENT
5010836,51100,,,2021-06-27,2,CHARGE
5010836,51100,2021-06-27 14:08:00,2021-06-27 16:47:00,2021-06-27,2.7,WRK
5010836,51100,,,2021-06-27,0.9,BREAK
5010836,51100,2021-06-27 17:42:00,2021-06-27 22:08:00,2021-06-27,4.4,WRK
5011015,51100,,,2021-06-27,8,ABSENT
5011060,54013,,,2021-06-27,8,ABSENT
5011105,51100,,,2021-06-27,8,ABSENT
5011110,51120,,,2021-06-27,7,ON_CALL
5011110,51120,2021-06-27 6:13:00,2021-06-27 7:13:00,2021-06-27,1,WRK
5011147,11151,2021-06-27 14:14:00,2021-06-27 19:50:00,2021-06-27,5.6,WRK
5011147,11151,,,2021-06-27,0.9,BREAK
5011147,11151,2021-06-27 20:43:00,2021-06-27 22:14:00,2021-06-27,1.5,WRK
5011633,53410,,,2021-06-27,8,ABSENT
5012163,53410,,,2021-06-27,8,ABSENT
5012165,51120,,,2021-06-27,8,ABSENT
5012319,51100,,,2021-06-27,8,ABSENT
5014147,11151,,,2021-06-27,8,ABSENT
507800,31288,,,2021-06-27,8,ABSENT
1672200,55050,,,2021-06-28,8,ABSENT
1977006,51120,,,2021-06-28,5,ON_CALL
1977006,51120,2021-06-28 6:05:00,2021-06-28 9:05:00,2021-06-28,3,WRK
3974506,53410,,,2021-06-28,6,ON_CALL
3974506,53410,2021-06-28 6:01:00,2021-06-28 8:01:00,2021-06-28,2,WRK
4019778,31288,,,2021-06-28,8,ON_CALL
4024378,18048,,,2021-06-28,5,ON_CALL
4024378,18048,2021-06-28 6:18:00,2021-06-28 9:18:00,2021-06-28,3,WRK
5001188,51120,,,2021-06-28,2,CHARGE
5001188,51120,2021-06-28 14:15:00,2021-06-28 19:48:00,2021-06-28,5.6,WRK
5001188,51120,,,2021-06-28,0.9,BREAK
5001188,51120,2021-06-28 20:43:00,2021-06-28 22:15:00,2021-06-28,1.5,WRK
5001252,54013,,,2021-06-28,8,ABSENT
5005963,51100,,,2021-06-28,8,ABSENT
5009770,53410,,,2021-06-28,1,CHARGE
5009770,53410,2021-06-28 14:06:00,2021-06-28 16:50:00,2021-06-28,2.7,WRK
5009770,53410,,,2021-06-28,0.6,BREAK
5009770,53410,2021-06-28 17:26:00,2021-06-28 22:06:00,2021-06-28,4.7,WRK
5010836,51100,2021-06-28 14:02:00,2021-06-28 16:42:00,2021-06-28,2.7,WRK
5010836,51100,,,2021-06-28,1,BREAK
5010836,51100,2021-06-28 17:41:00,2021-06-28 22:02:00,2021-06-28,4.3,WRK
5011015,51100,,,2021-06-28,8,ABSENT
5011018,54013,,,2021-06-28,3,CHARGE
5011018,54013,2021-06-28 14:05:00,2021-06-28 16:37:00,2021-06-28,2.5,WRK
5011018,54013,,,2021-06-28,0.6,BREAK
5011018,54013,2021-06-28 17:15:00,2021-06-28 22:05:00,2021-06-28,4.8,WRK
5011060,54013,,,2021-06-28,8,ON_CALL
5011105,51100,2021-06-28 14:04:00,2021-06-28 19:43:00,2021-06-28,5.7,WRK
5011105,51100,,,2021-06-28,1,BREAK
5011105,51100,2021-06-28 20:43:00,2021-06-28 22:04:00,2021-06-28,1.4,WRK
5011110,51120,2021-06-28 6:19:00,2021-06-28 9:59:00,2021-06-28,3.7,WRK
5011110,51120,,,2021-06-28,0.8,BREAK
5011110,51120,2021-06-28 10:50:00,2021-06-28 14:19:00,2021-06-28,3.5,WRK
5011147,11151,,,2021-06-28,3,CHARGE
5011147,11151,2021-06-28 6:11:00,2021-06-28 9:55:00,2021-06-28,3.7,WRK
5011147,11151,,,2021-06-28,0.5,BREAK
5011147,11151,2021-06-28 10:27:00,2021-06-28 14:11:00,2021-06-28,3.7,WRK
5011401,31288,,,2021-06-28,8,ON_CALL
5011499,18048,,,2021-06-28,8,ABSENT
5011633,53410,,,2021-06-28,6,ON_CALL
5011633,53410,2021-06-28 6:03:00,2021-06-28 8:03:00,2021-06-28,2,WRK
5012159,18048,2021-06-28 14:18:00,2021-06-28 17:52:00,2021-06-28,3.6,WRK
5012159,18048,,,2021-06-28,0.6,BREAK
5012159,18048,2021-06-28 18:29:00,2021-06-28 22:18:00,2021-06-28,3.8,WRK
5012163,53410,2021-06-28 14:08:00,2021-06-28 18:43:00,2021-06-28,4.6,WRK
5012163,53410,,,2021-06-28,0.7,BREAK
5012163,53410,2021-06-28 19:26:00,2021-06-28 22:08:00,2021-06-28,2.7,WRK
5012329,54013,,,2021-06-28,8,ABSENT
5014147,11151,,,2021-06-28,8,ABSENT
507800,31288,,,2021-06-28,8,ABSENT
1672200,55050,,,2021-06-29,1,CHARGE
1672200,55050,2021-06-29 14:11:00,2021-06-29 18:42:00,2021-06-29,4.5,WRK
1672200,55050,,,2021-06-29,0.7,BREAK
1672200,55050,2021-06-29 19:26:00,2021-06-29 22:11:00,2021-06-29,2.8,WRK
1977006,51120,,,2021-06-29,7,ON_CALL
1977006,51120,2021-06-29 6:09:00,2021-06-29 7:09:00,2021-06-29,1,WRK
3974506,53410,,,2021-06-29,1,CHARGE
3974506,53410,2021-06-29 6:03:00,2021-06-29 10:33:00,2021-06-29,4.5,WRK
3974506,53410,,,2021-06-29,0.8,BREAK
3974506,53410,2021-06-29 11:22:00,2021-06-29 14:03:00,2021-06-29,2.7,WRK
4024378,18048,2021-06-29 14:04:00,2021-06-29 18:52:00,2021-06-29,4.8,WRK
4024378,18048,,,2021-06-29,0.9,BREAK
4024378,18048,2021-06-29 19:45:00,2021-06-29 22:04:00,2021-06-29,2.3,WRK
5001188,51120,,,2021-06-29,2,CHARGE
5001188,51120,2021-06-29 14:20:00,2021-06-29 18:05:00,2021-06-29,3.8,WRK
5001188,51120,,,2021-06-29,1,BREAK
5001188,51120,2021-06-29 19:05:00,2021-06-29 22:20:00,2021-06-29,3.2,WRK
5001252,54013,,,2021-06-29,3,CHARGE
5001252,54013,2021-06-29 6:07:00,2021-06-29 9:46:00,2021-06-29,3.7,WRK
5001252,54013,,,2021-06-29,0.9,BREAK
5001252,54013,2021-06-29 10:43:00,2021-06-29 14:07:00,2021-06-29,3.4,WRK
5005963,51100,2021-06-29 14:01:00,2021-06-29 19:38:00,2021-06-29,5.6,WRK
5005963,51100,,,2021-06-29,1,BREAK
5005963,51100,2021-06-29 20:36:00,2021-06-29 22:01:00,2021-06-29,1.4,WRK
5010823,53410,,,2021-06-29,8,ON_CALL
5010831,51120,,,2021-06-29,8,ABSENT
5010836,51100,,,2021-06-29,5,ON_CALL
5010836,51100,2021-06-29 14:02:00,2021-06-29 17:02:00,2021-06-29,3,WRK
5011015,51100,,,2021-06-29,8,ABSENT
5011018,54013,,,2021-06-29,8,ABSENT
5011060,54013,,,2021-06-29,8,ABSENT
5011105,51100,,,2021-06-29,8,ABSENT
5011110,51120,,,2021-06-29,2,CHARGE
5011110,51120,2021-06-29 14:12:00,2021-06-29 18:54:00,2021-06-29,4.7,WRK
5011110,51120,,,2021-06-29,0.8,BREAK
5011110,51120,2021-06-29 19:44:00,2021-06-29 22:12:00,2021-06-29,2.5,WRK
5011401,31288,,,2021-06-29,6,ON_CALL
5011401,31288,2021-06-29 14:02:00,2021-06-29 16:02:00,2021-06-29,2,WRK
5011499,18048,,,2021-06-29,8,ABSENT
5011633,53410,,,2021-06-29,8,ABSENT
5012159,18048,,,2021-06-29,8,ABSENT
5012165,51120,,,2021-06-29,5,ON_CALL
5012165,51120,2021-06-29 6:20:00,2021-06-29 9:20:00,2021-06-29,3,WRK
5012319,51100,,,2021-06-29,8,ABSENT
5012329,54013,,,2021-06-29,8,ABSENT
5014147,11151,2021-06-29 14:17:00,2021-06-29 18:56:00,2021-06-29,4.7,WRK
5014147,11151,,,2021-06-29,0.9,BREAK
5014147,11151,2021-06-29 19:52:00,2021-06-29 22:17:00,2021-06-29,2.4,WRK
507800,31288,,,2021-06-29,8,ON_CALL
1672200,55050,,,2021-06-30,8,ABSENT
1977006,51120,2021-06-30 6:16:00,2021-06-30 8:56:00,2021-06-30,2.7,WRK
1977006,51120,,,2021-06-30,0.6,BREAK
1977006,51120,2021-06-30 9:29:00,2021-06-30 14:16:00,2021-06-30,4.8,WRK
3974506,53410,,,2021-06-30,1,CHARGE
3974506,53410,2021-06-30 14:12:00,2021-06-30 18:46:00,2021-06-30,4.6,WRK
3974506,53410,,,2021-06-30,0.6,BREAK
3974506,53410,2021-06-30 19:21:00,2021-06-30 22:12:00,2021-06-30,2.9,WRK
4019778,31288,,,2021-06-30,8,ABSENT
4024378,18048,,,2021-06-30,2,CHARGE
4024378,18048,2021-06-30 14:01:00,2021-06-30 16:45:00,2021-06-30,2.7,WRK
4024378,18048,,,2021-06-30,1,BREAK
4024378,18048,2021-06-30 17:45:00,2021-06-30 22:01:00,2021-06-30,4.3,WRK
5001252,54013,,,2021-06-30,7,ON_CALL
5001252,54013,2021-06-30 6:05:00,2021-06-30 7:05:00,2021-06-30,1,WRK
5005963,51100,2021-06-30 14:20:00,2021-06-30 19:58:00,2021-06-30,5.6,WRK
5005963,51100,,,2021-06-30,0.7,BREAK
5005963,51100,2021-06-30 20:41:00,2021-06-30 22:20:00,2021-06-30,1.6,WRK
5009770,53410,,,2021-06-30,8,ON_CALL
5010831,51120,,,2021-06-30,1,CHARGE
5010831,51120,2021-06-30 14:13:00,2021-06-30 17:55:00,2021-06-30,3.7,WRK
5010831,51120,,,2021-06-30,0.7,BREAK
5010831,51120,2021-06-30 18:39:00,2021-06-30 22:13:00,2021-06-30,3.6,WRK
5010836,51100,,,2021-06-30,8,ABSENT
5011018,54013,2021-06-30 14:05:00,2021-06-30 18:41:00,2021-06-30,4.6,WRK
5011018,54013,,,2021-06-30,0.6,BREAK
5011018,54013,2021-06-30 19:18:00,2021-06-30 22:05:00,2021-06-30,2.8,WRK
5011060,54013,2021-06-30 6:04:00,2021-06-30 8:46:00,2021-06-30,2.7,WRK
5011060,54013,,,2021-06-30,1,BREAK
5011060,54013,2021-06-30 9:44:00,2021-06-30 14:04:00,2021-06-30,4.3,WRK
5011105,51100,,,2021-06-30,8,ABSENT
5011110,51120,,,2021-06-30,1,CHARGE
5011110,51120,2021-06-30 6:04:00,2021-06-30 9:34:00,2021-06-30,3.5,WRK
5011110,51120,,,2021-06-30,0.9,BREAK
5011110,51120,2021-06-30 10:27:00,2021-06-30 14:04:00,2021-06-30,3.6,WRK
5011147,11151,,,2021-06-30,3,CHARGE
5011147,11151,2021-06-30 14:15:00,2021-06-30 18:46:00,2021-06-30,4.5,WRK
5011147,11151,,,2021-06-30,0.9,BREAK
5011147,11151,2021-06-30 19:42:00,2021-06-30 22:15:00,2021-06-30,2.5,WRK
5011401,31288,,,2021-06-30,6,ON_CALL
5011401,31288,2021-06-30 6:11:00,2021-06-30 8:11:00,2021-06-30,2,WRK
5011499,18048,2021-06-30 6:01:00,2021-06-30 11:40:00,2021-06-30,5.7,WRK
5011499,18048,,,2021-06-30,1,BREAK
5011499,18048,2021-06-30 12:39:00,2021-06-30 14:01:00,2021-06-30,1.4,WRK
5011633,53410,,,2021-06-30,7,ON_CALL
5011633,53410,2021-06-30 14:05:00,2021-06-30 15:05:00,2021-06-30,1,WRK
5012159,18048,,,2021-06-30,8,ABSENT
5012163,53410,,,2021-06-30,7,ON_CALL
5012163,53410,2021-06-30 14:00:00,2021-06-30 15:00:00,2021-06-30,1,WRK
5012165,51120,2021-06-30 6:04:00,2021-06-30 9:42:00,2021-06-30,3.6,WRK
5012165,51120,,,2021-06-30,0.8,BREAK
5012165,51120,2021-06-30 10:31:00,2021-06-30 14:04:00,2021-06-30,3.5,WRK
5012329,54013,,,2021-06-30,8,ABSENT
5014147,11151,,,2021-06-30,8,ABSENT
507800,31288,,,2021-06-30,8,ABSENT
1377208,53410,,,2021-07-01,8,ABSENT
1672200,55050,,,2021-07-01,2,CHARGE
1672200,55050,2021-07-01 6:10:00,2021-07-01 9:42:00,2021-07-01,3.5,WRK
1672200,55050,,,2021-07-01,0.8,BREAK
1672200,55050,2021-07-01 10:29:00,2021-07-01 14:10:00,2021-07-01,3.7,WRK
1977006,51120,,,2021-07-01,6,ON_CALL
1977006,51120,2021-07-01 6:10:00,2021-07-01 8:10:00,2021-07-01,2,WRK
3974506,53410,2021-07-01 6:01:00,2021-07-01 11:41:00,2021-07-01,5.7,WRK
3974506,53410,,,2021-07-01,0.9,BREAK
3974506,53410,2021-07-01 12:35:00,2021-07-01 14:01:00,2021-07-01,1.4,WRK
4019778,31288,2021-07-01 14:13:00,2021-07-01 17:48:00,2021-07-01,3.6,WRK
4019778,31288,,,2021-07-01,0.9,BREAK
4019778,31288,2021-07-01 18:43:00,2021-07-01 22:13:00,2021-07-01,3.5,WRK
4024378,18048,,,2021-07-01,5,ON_CALL
4024378,18048,2021-07-01 6:01:00,2021-07-01 9:01:00,2021-07-01,3,WRK
5001188,51120,2021-07-01 14:19:00,2021-07-01 17:02:00,2021-07-01,2.7,WRK
5001188,51120,,,2021-07-01,0.5,BREAK
5001188,51120,2021-07-01 17:33:00,2021-07-01 22:19:00,2021-07-01,4.8,WRK
5001252,54013,,,2021-07-01,2,CHARGE
5001252,54013,2021-07-01 6:18:00,2021-07-01 10:04:00,2021-07-01,3.8,WRK
5001252,54013,,,2021-07-01,0.8,BREAK
5001252,54013,2021-07-01 10:49:00,2021-07-01 14:18:00,2021-07-01,3.5,WRK
5005963,51100,,,2021-07-01,5,ON_CALL
5005963,51100,2021-07-01 14:12:00,2021-07-01 17:12:00,2021-07-01,3,WRK
5009770,53410,,,2021-07-01,8,ON_CALL
5010823,53410,,,2021-07-01,8,ABSENT
5010831,51120,,,2021-07-01,7,ON_CALL
5010831,51120,2021-07-01 6:03:00,2021-07-01 7:03:00,2021-07-01,1,WRK
5010836,51100,2021-07-01 14:13:00,2021-07-01 18:55:00,2021-07-01,4.7,WRK
5010836,51100,,,2021-07-01,0.9,BREAK
